2024-975588099000000-09 2075588099:59:48.099 INFO  [restartedMain] top.zhu.springboot.logging.Application : Starting Application using Java 17.0.12 with PID 21472 (E:\SpringProject\spring-boot-practice\spring-boot-logging\target\classes started by ASUS in E:\SpringProject\spring-boot-practice)
2024-975588100000000-09 2075588100:59:48.100 INFO  [restartedMain] top.zhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-975588144000000-09 2075588144:59:48.144 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-975588145000000-09 2075588145:59:48.145 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-975588913000000-09 2075588913:59:48.913 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-975588922000000-09 2075588922:59:48.922 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-975588927000000-09 2075588927:59:48.927 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-975588927000000-09 2075588927:59:48.927 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-975588966000000-09 2075588966:59:48.966 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-975588966000000-09 2075588966:59:48.966 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 821 ms
2024-975589279000000-09 2075589279:59:49.279 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-975589294000000-09 2075589294:59:49.294 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-975589312000000-09 2075589312:59:49.312 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-975589321000000-09 2075589321:59:49.321 INFO  [restartedMain] top.zhu.springboot.logging.Application : Started Application in 1.698 seconds (process running for 2.321)
2024-975596018000000-09 2075596018:59:56.018 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-975596018000000-09 2075596018:59:56.018 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-975596020000000-09 2075596020:59:56.020 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 2 ms
2024-975596051000000-09 2075596051:59:56.051 INFO  [http-nio-8080-exec-1] top.zhu.springboot.logging.controller.LogController : This is a INFO log
2024-975596051000000-09 2075596051:59:56.051 WARN  [http-nio-8080-exec-1] top.zhu.springboot.logging.controller.LogController : This is a WARN log
2024-975596051000000-09 2075596051:59:56.051 ERROR [http-nio-8080-exec-1] top.zhu.springboot.logging.controller.LogController : This is a ERROR log
